,mouse,date,sessions,protocols
0,1543,2023-03-27,"['of', 'opto']","['U', 'U']"
1,1543,2023-02-17,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
2,1543,2023-03-15,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
3,1543,2023-02-08,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
4,1543,2023-03-13,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
5,1543,2023-03-08,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
6,1543,2023-03-20,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
7,1543,2023-02-16,"['of', 'opto2', 'opto3']","['U', 'U', 'U']"
8,1543,2023-02-03,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
9,1543,2023-02-20,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
10,1543,2023-02-06,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
11,1543,2023-01-25,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
12,1543,2023-02-24,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
13,1543,2023-03-29,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
14,1543,2023-02-27,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
15,1543,2023-01-30,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
16,1543,2023-03-01,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
17,1543,2023-02-10,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
18,1543,2023-03-06,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
19,1543,2023-02-13,"['of', 'obj', 'obj1', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
20,1544,2023-05-12,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
21,1544,2023-05-03,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
22,1544,2023-04-24,"['of', 'obj', 'obj2', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
23,1544,2023-03-27,"['of', 'obj', 'obj1', 'opto', 'opto1', 'opto2']","['3', '3', '3', '3', '3', '3']"
24,1544,2023-04-19,"['of', 'obj', 'obj2', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
25,1544,2023-04-03,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
26,1544,2023-02-17,"['of', 'opto', 'opto3']","['U', 'U', 'U']"
27,1544,2023-03-15,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
28,1544,2023-02-08,"['of', 'opto1']","['U', 'U']"
29,1544,2023-03-13,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
30,1544,2023-03-10,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
31,1544,2023-05-05,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
32,1544,2023-04-13,"['of', 'obj', 'obj1', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
33,1544,2023-04-26,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
34,1544,2023-03-08,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
35,1544,2023-03-20,"['of', 'obj', 'opto1', 'opto2']","['1', '1', '1', '1']"
36,1544,2023-03-17,"['of', 'obj', 'obj1', 'opto2', 'opto3']","['3', '3', '3', '3', '3']"
37,1544,2023-03-03,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
38,1544,2023-02-16,"['of', 'opto1']","['U', 'U']"
39,1544,2023-02-03,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
40,1544,2023-02-20,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
41,1544,2023-04-21,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
42,1544,2023-02-06,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
43,1544,2023-05-08,"['of', 'obj', 'obj2', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
44,1544,2023-01-25,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
45,1544,2023-03-22,"['of', 'obj', 'obj1', 'opto', 'opto1', 'opto2']","['3', '3', '3', '3', '3', '3']"
46,1544,2023-03-24,"['of', 'opto', 'opto1', 'of2']","['U', 'U', 'U', 'U']"
47,1544,2023-05-10,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', 'U', '1']"
48,1544,2023-02-22,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
49,1544,2023-04-05,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
50,1544,2023-04-17,"['of', 'obj', 'of2', 'opto1', 'opto2']","['1', '1', '1', '1', '1']"
51,1544,2023-04-11,"['of', 'obj', 'of2', 'opto', 'opto1']","['1', '1', '1', '1', '1']"
52,1544,2023-04-28,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', '1', '1']"
53,1544,2023-02-24,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
54,1544,2023-03-29,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '4', '3']"
55,1544,2023-02-27,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
56,1544,2023-04-07,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
57,1544,2023-01-30,"['of', 'opto1']","['U', 'U']"
58,1544,2023-03-01,"['of', 'obj', 'obj1', 'opto1', 'opto2']","['3', '3', '3', '3', '3']"
59,1544,2023-02-10,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
60,1544,2023-05-01,"['of', 'obj', 'obj2', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
61,1544,2023-03-06,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
62,1544,2023-02-13,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
63,1738,2024-03-10,"['of', 'opto']","['U', 'U']"
64,1738,2024-03-11,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
65,1738,2024-03-17,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
66,1738,2024-03-12,"['of', 'obj', 'obj1', 'of1', 'opto', 'opto1']","['3', '3', '3', '3', '3', '3']"
67,1738,2024-03-15,"['of', 'obj', 'obj1', 'of1', 'opto']","['3', '3', '3', 'U', '3']"
68,1738,2024-03-14,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
69,1546,2023-03-01,"['of', 'obj', 'obj1', 'opto', 'opto1']","['3', '3', '3', '3', '3']"
70,1546,2023-02-16,"['of', 'opto', 'opto2']","['3', '3', '3']"
71,1546,2023-02-10,"['of', 'obj', 'obj1', 'opto', 'opto2']","['3', '3', '3', '3', '3']"
72,1546,2023-02-17,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
73,1546,2023-02-08,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
74,1546,2023-02-27,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
75,1546,2023-01-25,"['of', 'opto1', 'opto2']","['U', 'U', 'U']"
76,1546,2023-02-13,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
77,1868,2025-04-24,"['of', 'obj', 'opto1', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
78,1868,2025-04-04,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
79,1868,2025-03-07,"['of', 'opto1']","['U', 'U']"
80,1868,2025-04-15b,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
81,1868,2025-03-12,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
82,1868,2025-04-10b,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
83,1868,2025-04-15,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto1', 'of', 'obj', 'opto', 'obj1', 'of1']","['5', '6', '6', '6', '5', '5', '5', '6', '6', '6', '6']"
84,1868,2025-03-28,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
85,1868,2025-04-22,"['of', 'obj', 'of2', 'opto']","['1', '1', '1', '1']"
86,1868,2025-03-23,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
87,1868,2025-03-10,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
88,1868,2025-03-25,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
89,1868,2025-04-17b,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
90,1868,2025-05-05,"['of', 'opto']","['U', 'U']"
91,1868,2025-04-01b,"['of1', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
92,1868,2025-03-14,"['of', 'opto']","['U', 'U']"
93,1868,2025-03-21,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
94,1868,2025-04-08,"['of1', 'obj', 'of1', 'obj1', 'of2', 'opto', 'of', 'obj', 'opto', 'obj1', 'of2']","['5', '5', '5', '6', '6', '6', '6', '5', '6', '6', '6']"
95,1868,2025-04-08b,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
96,1868,2025-05-01,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
97,1868,2025-04-01,"['of', 'obj', 'opto', 'obj1', 'of2', 'of1', 'obj', 'of1', 'opto']","['6', '1', '6', '6', '6', '1', '1', '1', '6']"
98,1868,2025-03-20,"['of', 'opto']","['U', 'U']"
99,1868,2025-03-18,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
100,1868,2025-03-08,"['of', 'opto']","['U', 'U']"
101,1868,2025-04-27,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
102,1868,2025-03-13,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
103,1868,2025-03-31,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
104,1868,2025-04-10,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto', 'of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '5', '6', '6', '6', '6', '6', '6', '6', '6']"
105,1868,2025-03-24,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
106,1868,2025-04-17,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto', 'of', 'obj', 'opto', 'obj1', 'of2']","['6', '5', '5', '6', '6', '5', '6', '5', '5', '6', '6']"
107,1868,2025-04-03,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
108,1868,2025-03-17,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
109,1748,2024-03-18,"['of', 'opto2', 'opto3']","['U', 'U', 'U']"
110,1748,2024-03-22,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
111,1748,2024-03-30,"['of', 'obj', 'obj1', 'of2', 'opto']","['3', '3', '3', '3', '3']"
112,1748,2024-03-21,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
113,1748,2024-04-03,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto', 'opto1']","['5', '5', '5', '5', '5', '5', '5']"
