,mouse,date,session,object_position_x,object_position_y
0,1543,2023-02-06,of,,
1,1543,2023-02-06,opto,,
2,1543,2023-02-06,opto2,,
3,1543,2023-02-24,of,,
4,1543,2023-02-24,opto,,
5,1543,2023-02-24,opto1,,
6,1543,2023-01-25,of,,
7,1543,2023-01-25,opto1,,
8,1543,2023-01-25,opto2,,
9,1543,2023-03-06,of,,
10,1543,2023-03-06,opto,,
11,1543,2023-03-06,opto2,,
12,1543,2023-03-08,of,88.01748851831366,39.982147980377796
13,1543,2023-03-08,obj,58.32235091473294,59.813096343967416
14,1543,2023-03-08,obj1,33.30575714285341,81.53795109059483
15,1543,2023-03-08,opto,,
16,1543,2023-03-08,opto1,,
17,1543,2023-02-17,of,,
18,1543,2023-02-17,opto,,
19,1543,2023-02-17,opto2,,
20,1543,2023-03-15,of,,
21,1543,2023-03-15,opto,,
22,1543,2023-03-15,opto1,289.4447852574421,70.39086301830811
23,1543,2023-02-20,of,,
24,1543,2023-02-20,obj,51.27233293045848,50.067951856508884
25,1543,2023-02-20,obj1,34.6697697129183,83.99642814875682
26,1543,2023-02-20,opto,,
27,1543,2023-02-20,opto1,,
28,1543,2023-02-03,of,,
29,1543,2023-02-03,opto,,
30,1543,2023-02-03,opto2,,
31,1543,2023-02-13,of,,
32,1543,2023-02-13,obj,51.13196147328209,50.55085272897376
33,1543,2023-02-13,obj1,79.65467689153881,25.083841405644225
34,1543,2023-02-13,opto,,
35,1543,2023-02-13,opto2,,
36,1543,2023-01-30,of,,
37,1543,2023-01-30,opto1,,
38,1543,2023-01-30,opto2,,
39,1543,2023-02-16,of,,
40,1543,2023-02-16,opto2,,
41,1543,2023-02-16,opto3,,
42,1543,2023-02-08,of,,
43,1543,2023-02-08,opto1,,
44,1543,2023-02-08,opto2,,
45,1543,2023-02-27,of,,
46,1543,2023-02-27,obj,49.3017626460473,52.47777778830909
47,1543,2023-02-27,obj1,87.70999514711748,15.295351311280932
48,1543,2023-02-27,opto,,
49,1543,2023-02-27,opto1,,
50,1543,2023-03-29,of,,
51,1543,2023-03-29,opto,,
52,1543,2023-03-29,opto1,,
53,1543,2023-03-20,of,,
54,1543,2023-03-20,opto,,
55,1543,2023-03-20,opto1,,
56,1543,2023-03-27,of,,
57,1543,2023-03-27,opto,,
58,1543,2023-02-10,of,,
59,1543,2023-02-10,opto,,
60,1543,2023-02-10,opto1,,
61,1543,2023-03-01,of,,
62,1543,2023-03-01,opto,,
63,1543,2023-03-01,opto1,,
64,1543,2023-03-13,of,,
65,1543,2023-03-13,opto,,
66,1543,2023-03-13,opto1,275.29909038850553,65.93260147472867
67,1544,2023-03-22,of,,
68,1544,2023-03-22,obj,42.85218598576625,45.77088916392981
69,1544,2023-03-22,obj1,24.345348388305005,78.55911928967328
70,1544,2023-03-22,opto,,
71,1544,2023-03-22,opto1,,
72,1544,2023-03-22,opto2,,
73,1544,2023-04-07,of,,
74,1544,2023-04-07,opto,,
75,1544,2023-04-07,opto2,,
76,1544,2023-04-05,of,,
77,1544,2023-04-05,obj,54.790492307354995,44.32644944906632
78,1544,2023-04-05,obj1,23.70804657622561,78.80084022304911
79,1544,2023-04-05,opto,,
80,1544,2023-04-05,opto1,23.66858303312124,79.22103037763212
81,1544,2023-02-06,of,,
82,1544,2023-02-06,opto,,
83,1544,2023-02-06,opto2,,
84,1544,2023-04-17,of,,
85,1544,2023-04-17,obj,52.849502240655454,55.81988711586987
86,1544,2023-04-17,of2,,
87,1544,2023-04-17,opto1,,
88,1544,2023-04-17,opto2,,
89,1544,2023-04-26,of,,
90,1544,2023-04-26,obj,40.1392893889532,41.51213447042192
91,1544,2023-04-26,of2,,
92,1544,2023-04-26,opto,,
93,1544,2023-04-26,opto2,,
94,1544,2023-02-24,of,,
95,1544,2023-02-24,obj,59.443928013703214,62.68817116088914
96,1544,2023-02-24,obj1,29.582545623806,79.54886940670123
97,1544,2023-02-24,opto,,
98,1544,2023-02-24,opto1,,
99,1544,2023-01-25,of,,
100,1544,2023-01-25,opto1,,
101,1544,2023-01-25,opto2,,
102,1544,2023-05-05,of,,
103,1544,2023-05-05,obj,39.86860989592667,42.35245453385178
104,1544,2023-05-05,of2,,
105,1544,2023-05-05,opto,,
106,1544,2023-05-05,opto2,,
107,1544,2023-05-08,of,,
108,1544,2023-05-08,obj,59.78050594666198,39.95333460820921
109,1544,2023-05-08,obj2,36.53111205365439,32.16715322646791
110,1544,2023-05-08,opto,,
111,1544,2023-05-08,opto2,,
