,mouse,dates,session,cluster_id,sig,sig_neg
0,1544,2023-04-17,of,3,False,False
1,1544,2023-04-17,of,4,False,False
2,1544,2023-04-17,of,5,True,False
3,1544,2023-04-17,of,17,False,False
4,1544,2023-04-17,of,18,False,False
5,1544,2023-04-17,of,20,False,False
6,1544,2023-04-17,obj,3,False,False
7,1544,2023-04-17,obj,4,False,False
8,1544,2023-04-17,obj,5,True,False
9,1544,2023-04-17,obj,17,False,False
10,1544,2023-04-17,obj,18,False,False
11,1544,2023-04-17,obj,20,False,False
12,1544,2023-04-17,of2,3,False,True
13,1544,2023-04-17,of2,4,False,False
14,1544,2023-04-17,of2,5,True,False
15,1544,2023-04-17,of2,17,False,False
16,1544,2023-04-17,of2,18,False,False
17,1544,2023-04-17,of2,20,False,True
18,1544,2023-05-12,of,2,False,False
19,1544,2023-05-12,of,5,True,False
20,1544,2023-05-12,of,9,False,False
21,1544,2023-05-12,obj,2,False,False
22,1544,2023-05-12,obj,5,True,False
23,1544,2023-05-12,obj,9,False,False
24,1544,2023-05-12,of2,2,False,False
25,1544,2023-05-12,of2,5,False,False
26,1544,2023-05-12,of2,9,False,False
27,1544,2023-04-28,of,1,False,False
28,1544,2023-04-28,of,4,True,False
29,1544,2023-04-28,of,9,False,True
30,1544,2023-04-28,of,10,False,False
31,1544,2023-04-28,of,11,False,False
32,1544,2023-04-28,of,13,False,False
33,1544,2023-04-28,of,17,False,False
34,1544,2023-04-28,of,18,False,True
35,1544,2023-04-28,obj,1,False,True
36,1544,2023-04-28,obj,4,False,False
37,1544,2023-04-28,obj,9,False,False
38,1544,2023-04-28,obj,10,True,False
39,1544,2023-04-28,obj,11,False,False
40,1544,2023-04-28,obj,13,False,False
41,1544,2023-04-28,obj,17,False,False
42,1544,2023-04-28,obj,18,False,True
43,1544,2023-04-28,of2,1,False,True
44,1544,2023-04-28,of2,4,False,False
45,1544,2023-04-28,of2,9,False,True
46,1544,2023-04-28,of2,10,False,False
47,1544,2023-04-28,of2,11,False,False
48,1544,2023-04-28,of2,13,True,False
49,1544,2023-04-28,of2,17,False,False
50,1544,2023-04-28,of2,18,False,True
51,1544,2023-05-05,of,3,False,False
52,1544,2023-05-05,of,14,False,False
53,1544,2023-05-05,obj,3,True,False
54,1544,2023-05-05,obj,14,False,False
55,1544,2023-05-05,of2,3,True,False
